,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
ACVR1C,0.8084,0.1916,1.4396470801707542,0.00018703069,7.059941e-05,0.06739346,0.018999554,0.06442021803766104,0.014462341197822193,1.968694,0.8007521,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
NTS,0.8082,0.19179999999999997,1.4383563504305688,1.11947e-05,4.753726e-06,0.0029732408,0.0021551724,0.002973240832507433,0.0014178765880217788,0.11020019,0.06369734,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
DTHD1,0.8064,0.1936,1.4267856832225299,7.870603e-06,8.279016e-05,0.0029732408,0.00794011,0.002973240832507433,0.004990925589836662,0.08284375,0.64264745,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
IGHG4,0.8046,0.19540000000000002,1.41529648115847,3.824438e-06,3.7386555e-05,0.0009910803,0.009528132,0.0009910802775024777,0.000964156079854809,0.008136948,0.24695542,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
AL162414.1,0.8044,0.1956,1.4140248616046631,2.7172604e-05,2.9022449e-05,0.012884042,0.007486392,0.01288404360753221,0.005217785843920148,0.23574872,0.27516556,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
LINC02107,0.8034,0.1966,1.4076814757945169,3.479377e-05,1.2832825e-05,0.023785925,0.0032894723,0.011892963330029732,0.003232758620689653,0.376664,0.13755247,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
TENM3,0.8028,0.19720000000000004,1.4038871365001127,0.00068468024,0.00041050758,0.23389488,0.13186158,0.18434093161546,0.07231170598910855,6.6281123,4.1226106,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
PROX1,0.8026,0.19740000000000002,1.4026242926343817,0.0007086324,0.00032004758,0.2844399,0.106736645,0.20713577799801683,0.08059210526315527,7.001033,2.9958916,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
CES4A,0.8012,0.19879999999999998,1.3938112717486582,0.00016243996,8.773973e-05,0.0703667,0.037205074,0.06541129831516351,0.028811252268602667,1.9481755,1.0813638,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
SYNM,0.801,0.19899999999999995,1.3925560845770066,0.0008283163,0.00036591498,0.39742294,0.11575414,0.19623389494548965,0.08875907441016026,6.8304543,3.2744741,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
DNAAF1,0.7996,0.20040000000000002,1.3837961960215899,3.4000906e-05,1.2092398e-05,0.009910802,0.0055013606,0.009910802775024777,0.004083484573502719,0.37586695,0.14520314,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
LINC00881,0.7988,0.20120000000000005,1.3788111261330658,0.0016102417,0.0007319412,0.52527213,0.24818252,0.31714568880079297,0.12097323049001327,15.819686,7.2345095,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
LIPG,0.7982,0.20179999999999998,1.3750820476693009,2.228855e-05,1.2004707e-05,0.007928642,0.0034029025,0.007928642220019821,0.002892468239564427,0.41488272,0.14155181,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
